replicate	UMAP_dim	cluster_num	tot_withinss	silhouette	gap_stat
1	2	1	2675.908639637433	NA	-0.04399939067520009
1	2	2	486.02929751189913	0.7074384708752969	0.18730632874802833
1	2	3	231.88014079992715	0.6146997087908643	0.26985497257230584
1	2	4	182.25062887712488	0.5288507254586021	0.23395043800889503
1	2	5	151.22477566639668	0.3880297681943485	0.24619313382230867
1	2	6	123.61628856675783	0.3920928361058841	0.2197492424981613
1	2	7	103.56133584132523	0.3976873905587868	0.19144924998487634
1	2	8	81.03097331107384	0.4284887371913517	0.251967593521504
1	2	9	68.95380277552074	0.4282678749518601	0.3251943696686612
1	2	10	59.72122190089597	0.43562953415213046	0.3273608198901443
1	3	1	1533.7799946964844	NA	-0.028598087092904123
1	3	2	366.88169881361523	0.6439429064011118	0.17367426740348257
1	3	3	183.9031345706009	0.5668623884775651	0.3068272681701272
1	3	4	151.06035514966777	0.48647136184242645	0.2908349992177799
1	3	5	127.99270163420445	0.5047447716079644	0.2650610911058271
1	3	6	107.1871698593978	0.4274730436047007	0.3029067531854359
1	3	7	95.73136419443713	0.31790232728885015	0.21005744082362776
1	3	8	82.23000269701379	0.3474154175799428	0.34684382831781946
1	3	9	73.47983706423265	0.35627852705259183	0.25053672760897605
1	3	10	66.40834510797016	0.357909598652971	0.36909439716252734
1	4	1	1435.973396790534	NA	0.03172397822798434
1	4	2	334.7014763003421	0.6667829198498375	0.2742909862953091
1	4	3	190.16803156465988	0.5408972823124807	0.3868487022149205
1	4	4	148.20155564973055	0.47486660117877877	0.39780964363940274
1	4	5	122.44624905011689	0.45560842759429454	0.388733626461768
1	4	6	104.13092289334324	0.4603425471099675	0.3702027734824078
1	4	7	92.16830235859216	0.47513152557888566	0.45533366054595126
1	4	8	84.13127556705642	0.3274474130314764	0.5011165454554369
1	4	9	72.16245851352704	0.34433897568376104	0.4997711420285684
1	4	10	67.68963997528031	0.33852416881073816	0.5437410867349022
2	2	1	1902.7082349226018	NA	-0.03280321019987653
2	2	2	506.6232796186596	0.6359017736870672	0.16311429811573497
2	2	3	226.83277945227772	0.6070944959136002	0.37538309031287653
2	2	4	169.4112436299271	0.5652483132265615	0.3711816184066068
2	2	5	137.3592475010528	0.5005676015399052	0.3166412779069807
2	2	6	113.76006253402196	0.5063555648508491	0.3352513484603765
2	2	7	94.08708098039138	0.5302647804680436	0.34908354141274245
2	2	8	77.05066404321651	0.4336864787871651	0.3236764078100114
2	2	9	67.66442848984126	0.42986160161925135	0.31325036324649735
2	2	10	59.73979705493058	0.4396971169884524	0.3371886578570331
2	3	1	1699.796426357561	NA	-0.04279183306598089
2	3	2	364.8182473869241	0.6816785378952166	0.19465248377841426
2	3	3	180.77015112818185	0.5881733790458189	0.3212208059329047
2	3	4	150.38944925074418	0.4889740947666168	0.2926539475966585
2	3	5	128.8282891021981	0.47728104802100946	0.3293011013708962
2	3	6	111.42866795500929	0.4255529932408842	0.34232291991996533
2	3	7	89.8922451680867	0.4470476043721171	0.33155804858966054
2	3	8	79.88673734742548	0.3522967987730249	0.40603767209564356
2	3	9	72.02294991539871	0.3518516194383745	0.3529310055954453
2	3	10	64.63313419142914	0.35806355292462777	0.33440218238952735
2	4	1	1277.8931415428583	NA	0.036944191844739294
2	4	2	347.65245322319817	0.6082635883885059	0.27263416008456876
2	4	3	174.87928832590688	0.5631977348150911	0.4436388671962286
2	4	4	143.87461619043776	0.5077706405031571	0.4443229911523048
2	4	5	120.30654366315326	0.40456473828690365	0.42609701032148584
2	4	6	102.83867253175788	0.4138717900774194	0.36140958102856535
2	4	7	87.3322748562328	0.44222480731884006	0.49598711157750675
2	4	8	78.57326018878943	0.33839362750496854	0.5121177271479751
2	4	9	70.94782413289302	0.3410583276898399	0.5182616650806922
2	4	10	64.50501750901108	0.33622812613589775	0.5313289055658141
3	2	1	2203.2571710914754	NA	-0.01580886691196426
3	2	2	473.0949066078914	0.6864399590200133	0.20360330495131063
3	2	3	225.8507983624698	0.6059051324437693	0.3366186220259131
3	2	4	185.82285403577225	0.5919721858797407	0.29758890040831076
3	2	5	147.0588641655364	0.5160774954336347	0.3021041959430262
3	2	6	119.40342749708901	0.5385877403048559	0.2594348410399281
3	2	7	96.81984035112652	0.40039619882509814	0.22425543471334874
3	2	8	81.92526812664397	0.41185755709630806	0.1794047492566202
3	2	9	72.01984092346125	0.41646185063867963	0.16011044938649466
3	2	10	62.657124052197695	0.42935006543189935	0.22555393967882642
3	3	1	2313.0639731727906	NA	-0.0911380920311089
3	3	2	386.8553387915267	0.7201232908622384	0.23451111990611118
3	3	3	205.12851241425284	0.5984978676355802	0.10240484282550266
3	3	4	166.73121249260424	0.5170457223265996	0.29110030225094796
3	3	5	129.67302899716876	0.5145668496894361	0.27129986458851896
3	3	6	111.4628026707962	0.5219009975181561	0.33899475986303385
3	3	7	92.24045743967325	0.47660923648235004	0.32974465902633776
3	3	8	87.73049679481795	0.4595298761491248	0.2658105864732616
3	3	9	73.16442875913964	0.3719289717798411	0.3686583133607044
3	3	10	65.969964763837325	0.3657770600319455	0.21280691362716642
3	4	1	1597.4879365454976	NA	-0.025821773222613587
3	4	2	326.3767002765383	0.6876473351512975	0.27207667686871506
3	4	3	178.64499343250026	0.5654650868769794	0.38748452383946574
3	4	4	150.14642400887746	0.46822805428049563	0.3777826958482171
3	4	5	131.38793242165866	0.4765273075145877	0.3532479933252244
3	4	6	109.4345235182461	0.4203753397525825	0.32777095128485545
3	4	7	91.73304592206051	0.44305888532911236	0.42279822508797826
3	4	8	83.82151611994951	0.3318389223315039	0.42110508893717435
3	4	9	75.66043903780233	0.34050277525698963	0.4690560535787811
3	4	10	69.84721023103084	0.3313774825842109	0.48223072512275644
4	2	1	3322.376726959648	NA	-0.0073384746494919995
4	2	2	606.7763423590777	0.7114301874809577	0.21096278355298548
4	2	3	282.4730115974382	0.6381571644420485	0.3037291418374082
4	2	4	190.2858969899783	0.6038391356294486	0.24168977041636008
4	2	5	142.34446209847673	0.5902061047760874	0.22431862666564673
4	2	6	116.68157058288767	0.4456739660797828	0.296293526658272
4	2	7	101.72106410980992	0.43925401722668356	0.34010650067826464
4	2	8	86.12049550572785	0.4070475158598952	0.34151485451829666
4	2	9	73.44356056627397	0.40519878673194853	0.3617738162504649
4	2	10	62.072488896561005	0.4212724250343952	0.3218496973549998
4	3	1	1970.3599380773978	NA	-0.07206409728378649
4	3	2	391.2857284663519	0.6923680962240845	0.20771744803048353
4	3	3	197.39396726804924	0.592235396128094	0.3341625424347878
4	3	4	153.73118891202307	0.5219317393555825	0.3030391767795475
4	3	5	128.08908797761808	0.5060865669934015	0.31073318759099156
4	3	6	107.83365597542556	0.4529919350380866	0.37980750137766384
4	3	7	93.66023456993307	0.45692408869051515	0.37936843887242766
4	3	8	81.42148548728818	0.3536528597351888	0.38426403440439927
4	3	9	72.7980284066298	0.3599470733929993	0.4280781395893669
4	3	10	65.39378619616157	0.36284648515685775	0.39134868456789595
4	4	1	1386.9849962509538	NA	-0.010121499188189276
4	4	2	322.0586180356373	0.6486790138018533	0.21295386785061332
4	4	3	184.4586673535159	0.5407420399365064	0.3061586121552926
4	4	4	150.11105810184847	0.46731365628476484	0.3172441546803695
4	4	5	128.6535472630978	0.4689745029550682	0.33319789211302986
4	4	6	109.98872391802482	0.4139721166355285	0.25284338964554554
4	4	7	98.59206061580032	0.42047427082090694	0.31943093797595923
4	4	8	83.67429852077305	0.4489106167250705	0.2932542586567761
4	4	9	75.6517938477252	0.32548190277885636	0.31597090962760266
4	4	10	68.70365714743295	0.3337950036909539	0.36181351813539964
5	2	1	1940.9092660126123	NA	0.01699327729359723
5	2	2	516.2167359107419	0.6189915399539291	0.18727669516177414
5	2	3	210.33381162097407	0.6202765529470526	0.39421948800118134
5	2	4	174.7158314595287	0.5514629561463091	0.37248607871665573
5	2	5	139.16847837144311	0.5004695267021081	0.3664958643939231
5	2	6	113.84561274645108	0.524491514184127	0.2899025517133915
5	2	7	91.40832232979852	0.40813044832202205	0.35064979805330543
5	2	8	76.86756863126335	0.42042384307879654	0.36096822147986174
5	2	9	66.94831007063577	0.43428933921920576	0.30259984051969413
5	2	10	59.6102807219441	0.4231923123277944	0.40226162180651315
5	3	1	1625.0407067102933	NA	-0.054910279579836185
5	3	2	369.36451575526894	0.6636661717494858	0.18351405326711756
5	3	3	188.600689541823	0.5714399128194487	0.3191958235397925
5	3	4	155.87154051541256	0.48655929839091333	0.28658726007132085
5	3	5	132.88715687729325	0.48132806856949145	0.3061570383533647
5	3	6	111.79584274998548	0.4319645523908952	0.2588355486777165
5	3	7	96.02605856901741	0.3461084384823389	0.23183938888699274
5	3	8	81.72753239778564	0.35897993444138887	0.40092735851280636
5	3	9	73.45997913939891	0.3584967563613581	0.23577003318941658
5	3	10	65.46534056295835	0.3699538428454541	0.3951875620444918
5	4	1	1702.4461454386933	NA	-0.029894313728775934
5	4	2	320.79615150822985	0.6975935072082488	0.2581007527297947
5	4	3	194.86964842421838	0.5424992514097126	0.3160123659956051
5	4	4	157.38900378729645	0.45422061174622735	0.2994799444807672
5	4	5	134.43096395369804	0.441274463751721	0.29070278291638196
5	4	6	109.53370152031073	0.4437523126737054	0.2774319526665181
5	4	7	91.2181901559173	0.46150566792602954	0.440853534724964
5	4	8	83.09773030188667	0.3397687691077381	0.3823598509885584
5	4	9	74.92286193453909	0.3439282784129285	0.45337863889365604
5	4	10	68.78309282279665	0.3517391761468381	0.3369575166452128
6	2	1	3360.7525462838485	NA	-0.06135495019635151
6	2	2	524.2544678763013	0.7477608015230481	0.3215399090537199
6	2	3	272.8175382416878	0.6255040995556723	0.4477053343937829
6	2	4	199.89169860845766	0.537068550261447	0.4637869880064178
6	2	5	143.4764166482848	0.5499246083425555	0.37181163036586806
6	2	6	121.84019399960846	0.5090466344874436	0.4349546303134315
6	2	7	103.24327038445746	0.407864243591387	0.47674263838669395
6	2	8	84.13894947862856	0.41480716444648624	0.4822405743975371
6	2	9	74.66363522205211	0.42142913106517293	0.480477482561541
6	2	10	62.91189597933863	0.4416986722536691	0.37272198504864384
6	3	1	1511.6526708362874	NA	-0.008358570600522697
6	3	2	358.58089902525535	0.6587928337269748	0.22998791914827876
6	3	3	191.14121003541592	0.5606691065354034	0.1397169695273135
6	3	4	152.9066252135566	0.4944566228730504	0.3862123169780469
