UMAP_dim	cluster_num	mean_tot_withinss	sd_tot_withinss	mean_silhouette	sd_silhouette	mean_gap	sd_gap	mean_ARI	sd_ARI	mean_NMI	sd_NMI
2	1	2680.060948985681	531.4104317529524	NA	NA	-0.038836976359514636	0.04126339529928432	NA	NA	NA	NA
2	2	527.1351856225865	70.40480293610462	0.69294837869241	0.0340069711108818	0.19732549934378785	0.04409185556882512	0.8366698691799958	0.1399939706764407	0.767843802736095	0.14622208183025165
2	3	235.64095839269643	18.361063107705746	0.6265061396662599	0.025127928254895848	0.3147620531701593	0.08579241926521644	0.9342971344080224	0.04247939333840372	0.9015739797727691	0.0548980259101358
2	4	178.55858069148528	11.288237790696835	0.5549189123370586	0.029071925134618367	0.30308186854945707	0.07411437670972222	0.8550514324858584	0.0561552094284702	0.7967014618449396	0.06335863967288595
2	5	142.05257465302708	7.804124999980191	0.5013717693853134	0.05121052737974851	0.29620618130375004	0.0716389053748252	0.7596076200465988	0.0986682046245444	0.7390576496545187	0.06837191437154054
2	6	115.40178571877804	5.760666335367381	0.4674237704602536	0.046538676253327124	0.2988107528737183	0.08474577497133075	0.6845013293821649	0.13798506925587847	0.7280361120223275	0.07081436593501567
2	7	96.10268912695615	5.198835976547744	0.43800828966906125	0.04192637856989804	0.2952013897846871	0.07672934623234356	0.5594469910756822	0.10463222572433312	0.7003121547578385	0.05747408728965844
2	8	80.47696620094698	4.510293659632076	0.42168802201360295	0.012765527921207779	0.30786081473368737	0.08487437569837528	0.49492557511985324	0.05256607121204606	0.6887583007274138	0.047709974626829146
2	9	68.95846443804837	3.6793809730120777	0.42549055421428167	0.011479423326546327	0.3152535161592961	0.09070390281139645	0.4596465425786138	0.043087472362404594	0.6659696214761517	0.03267014556552231
2	10	59.838004411242835	3.330978343596058	0.4309760374569381	0.013128268872261789	0.3092331889854587	0.08703456853736198	0.45059779226482427	0.040886584521023665	0.6758268858820236	0.030816358179719967
3	1	1784.2163880954836	264.14499670297585	NA	NA	-0.03375973625298984	0.03424115707157244	NA	NA	NA	NA
3	2	378.81576147539016	29.720848242269255	0.6746997517687094	0.027998844709403573	0.211410625600917	0.041873552173920046	0.9118175759640599	0.04419534644232248	0.8449506377941799	0.06675767194724053
3	3	195.83784166756814	9.593945701101525	0.5775442028477901	0.024671783714336402	0.30641860787826225	0.07840662655202608	0.9563236665111556	0.03521605468356183	0.932508098238783	0.04508665194993833
3	4	156.62345360815223	7.347764468647935	0.5007115609768169	0.022255768834358848	0.30638953116151346	0.07011321746848397	0.8810420493239767	0.054856864104610076	0.8269933581065598	0.06734478938490938
3	5	131.08214569251086	5.174654336475393	0.4766490657099409	0.03541903314178087	0.31004371797230956	0.061939666791779695	0.8224647832316649	0.07007228401870223	0.7776109848631662	0.06518620744589751
3	6	110.43706305257142	3.9256418201149543	0.45006491174711544	0.038012789326163116	0.32841264033635165	0.06484652955018523	0.8357569370807857	0.07770213069522941	0.8060699004837215	0.056082908231965566
3	7	94.15529658870071	3.0346043970914662	0.4218316346771768	0.05295482875275724	0.346707261318362	0.07086106917509837	0.7602733294816402	0.15248784833360596	0.7991608755798701	0.08020160643437017
3	8	82.65111695671493	2.9900175539358904	0.3628468978373522	0.028232531549861127	0.35972852814353184	0.07274527184267175	0.572215854780001	0.049881872830609963	0.7528924594236429	0.03466513668282073
3	9	73.87227360390715	2.0811974797679142	0.3596611450155284	0.008630653703201022	0.35765332745367895	0.0788637616720586	0.5166772149708552	0.047715136873638785	0.72102027703257765	0.04013806494601359
3	10	66.7491005502952	1.8837839700413688	0.3623680095169317	0.00810210483622214	0.3742158469746571	0.07958897880673393	0.49025646335669176	0.04376221602898036	0.7097798496268926	0.030571969096033418
4	1	1590.8259988411903	224.07548957224498	NA	NA	-0.020703599044011246	0.03385578422946126	NA	NA	NA	NA
4	2	335.8289094180776	18.885643849886602	0.674747928210805	0.029164754107455615	0.25810749709098074	0.03598167458901721	0.9031554421618914	0.0677353818965098	0.8362644802995196	0.08813943264928673
4	3	187.75736353605205	8.774015310505876	0.5562032487022655	0.02093962164437331	0.3488415114993731	0.07581363721247295	0.9577840280531985	0.028183510273582273	0.9318766738400986	0.04062206989476308
4	4	150.98110491201555	6.252229995370243	0.47386928096905034	0.01888661279101666	0.3671101141211701	0.04871562354706073	0.8823988940365896	0.04690859022168155	0.8233589956553818	0.06147178959759926
4	5	127.06386260326002	4.56004941844211	0.46189397771314356	0.028197188586550397	0.389649839779298	0.05359499299353882	0.8352894213819778	0.07288137284768673	0.7819740612759509	0.0672343932353339
4	6	107.18725626764885	3.5841001081169233	0.4393571441506298	0.03121412396153186	0.382434474369558	0.06271570851484912	0.8540928518185633	0.061197499983828466	0.817338592853853	0.054176463210413806
4	7	91.87277637080486	3.1671931814348455	0.43240571241576864	0.03629666397343541	0.4012244657236912	0.06781413044903767	0.8662685649081069	0.09823798069163317	0.8438927563598394	0.058982389669420134
4	8	82.37836163210675	2.1924274468843987	0.3871491316615856	0.058209551419418984	0.4259686219092618	0.06833996744618061	0.6892879453508556	0.13942104580621004	0.7977672894655286	0.06626818814224558
4	9	74.71676531266971	1.986406816764734	0.33955314500777856	0.02006187087194304	0.43385728395740175	0.08010517764821617	0.5640427609589782	0.05699339120541146	0.7576265410867221	0.043191018404333224
4	10	68.16545873629141	1.7480960824317942	0.3354993393259751	0.008019549203582672	0.4376272497001858	0.08435464947671124	0.5210850619552471	0.047928004265545186	0.7406062991248873	0.03452909673486921
